idDeputado,idProposicao
160532,2297229
160556,2293392
160556,2293391
160556,2293388
160587,2288587
160587,2288586
160587,2288585
204536,2285186
73441,2276508
75431,2276013
204381,2275579
160598,2265634
160598,2265633
160598,2265632
141450,2237302
141450,2237301
141450,2237300
204521,2237299
204375,2237298
204521,2237297
204521,2237296
204375,2237295
204521,2237294
141411,2237293
204375,2237292
141411,2237291
141411,2237290
204521,2237289
141411,2237288
178964,2237287
160532,2237286
178964,2237285
160532,2237284
74749,2237283
160532,2237282
204518,2237281
69871,2237280
69871,2237279
204518,2237278
69871,2237277
69871,2237276
204518,2237275
69871,2237274
178889,2237273
160653,2237272
160653,2237271
160653,2237270
204392,2237269
74052,2237268
74052,2237267
74052,2237266
74052,2237265
122974,2237264
122974,2237263
122974,2237262
74749,2237260
141450,2237259
141450,2237258
141450,2237257
141450,2237256
178928,2237252
178934,2237250
178889,2237249
116379,2237248
178889,2237246
116379,2237245
178889,2237244
204558,2237242
178889,2237241
204558,2237240
204558,2237239
204558,2237238
178889,2237237
204558,2237236
178829,2237235
73486,2237234
73486,2237233
204480,2237232
204480,2237230
204480,2237229
73486,2237227
141508,2237226
178928,2237224
141508,2237222
73486,2237221
178928,2237220
178928,2237219
141508,2237218
178928,2237217
178928,2237216
178928,2237214
141508,2237211
178829,2237210
178829,2237209
160674,2237208
160674,2237207
74299,2237206
74299,2237204
178886,2237200
151208,2237043
204480,2236570
204480,2236569
160666,2236352
204556,2236351
204556,2236350
204468,2236212
204496,2236211
204496,2236210
204528,2236203
204528,2236202
204496,2236201
204496,2236200
73696,2236199
73696,2236198
73696,2236197
73696,2236196
73696,2236195
73696,2236194
73696,2236193
73696,2236192
204369,2236191
160512,2236183
204444,2236182
73943,2236181
73943,2236180
73943,2236179
73943,2236178
73943,2236177
73943,2236175
73943,2236174
73943,2236173
204468,2236172
73943,2236171
204397,2236170
204468,2236169
73943,2236168
73943,2236167
204468,2236166
73943,2236165
73943,2236164
73943,2236163
73943,2236162
204468,2236161
73943,2236160
73943,2236159
73943,2236158
73943,2236157
73943,2236156
204468,2236155
73943,2236154
73943,2236153
73943,2236152
73943,2236151
73943,2236150
73943,2236149
204468,2236148
204468,2236147
204468,2236146
73943,2236145
204468,2236144
204468,2236143
73943,2236142
