,id,nomeEleitoral,siglaPartido,UF,urlFoto,email,nomeCivil,escolaridade,ufNascimento,sexo
0,204515,André Janones,AVANTE,MG,https://www.camara.leg.br/internet/deputado/bandep/204515.jpg,dep.andrejanones@camara.leg.br,ANDRE LUIS GASPAR JANONES,Superior,MG,M
1,204476,Chiquinho Brazão,AVANTE,RJ,https://www.camara.leg.br/internet/deputado/bandep/204476.jpg,dep.chiquinhobrazao@camara.leg.br,JOÃO FRANCISCO INÁCIO BRAZÃO,Ensino Médio,RJ,M
2,198197,Greyce Elias,AVANTE,MG,https://www.camara.leg.br/internet/deputado/bandep/198197.jpg,dep.greyceelias@camara.leg.br,GREYCE DE QUEIROZ ELIAS,Superior,MG,F
3,204375,Leda Sadala,AVANTE,AP,https://www.camara.leg.br/internet/deputado/bandep/204375.jpg,dep.ledasadala@camara.leg.br,LEDA MARIA SADALA BRITO,Superior,PA,F
4,160510,Luis Tibé,AVANTE,MG,https://www.camara.leg.br/internet/deputado/bandep/160510.jpg,dep.luistibe@camara.leg.br,LUIS HENRIQUE DE OLIVEIRA RESENDE,Superior Incompleto,MG,M
5,204553,Pastor Sargento Isidório,AVANTE,BA,https://www.camara.leg.br/internet/deputado/bandep/204553.jpg,dep.pastorsargentoisidorio@camara.leg.br,MANOEL ISIDORIO DE SANTANA JUNIOR,Superior Incompleto,BA,M
6,178921,Sebastião Oliveira,AVANTE,PE,https://www.camara.leg.br/internet/deputado/bandep/178921.jpg,dep.sebastiaooliveira@camara.leg.br,SEBASTIAO IGNACIO DE OLIVEIRA JUNIOR,Superior,PE,M
7,197438,Tito,AVANTE,BA,https://www.camara.leg.br/internet/deputado/bandep/197438.jpg,dep.tito@camara.leg.br,CARLOS TITO MARQUES CORDEIRO,Mestrado,BA,M
8,178972,Alex Manente,CIDADANIA,SP,https://www.camara.leg.br/internet/deputado/bandep/178972.jpg,dep.alexmanente@camara.leg.br,ALEX SPINELLI MANENTE,Superior,SP,M
9,141391,Arnaldo Jardim,CIDADANIA,SP,https://www.camara.leg.br/internet/deputado/bandep/141391.jpg,dep.arnaldojardim@camara.leg.br,ARNALDO CALIL PEREIRA JARDIM,Superior,SP,M
10,164360,Carmen Zanotto,CIDADANIA,SC,https://www.camara.leg.br/internet/deputado/bandep/164360.jpg,dep.carmenzanotto@camara.leg.br,CARMEN EMÍLIA BONFÁ ZANOTTO,Superior,SC,F
11,204355,Da Vitoria,CIDADANIA,ES,https://www.camara.leg.br/internet/deputado/bandep/204355.jpg,dep.davitoria@camara.leg.br,JOSIAS MARIO DA VITORIA,Superior,ES,M
12,178916,Daniel Coelho,CIDADANIA,PE,https://www.camara.leg.br/internet/deputado/bandep/178916.jpg,dep.danielcoelho@camara.leg.br,DANIEL PIRES COELHO,Superior,PE,M
13,204377,Paula Belmonte,CIDADANIA,DF,https://www.camara.leg.br/internet/deputado/bandep/204377.jpg,dep.paulabelmonte@camara.leg.br,PAULA MORENO PARO BELMONTE,Superior,SP,F
14,73466,Rubens Bueno,CIDADANIA,PR,https://www.camara.leg.br/internet/deputado/bandep/73466.jpg,dep.rubensbueno@camara.leg.br,RUBENS BUENO,Superior,PR,M
15,204448,Luiz Antônio Corrêa,DC,RJ,https://www.camara.leg.br/internet/deputado/bandep/204448.jpg,dep.luizantoniocorrea@camara.leg.br,LUIZ ANTONIO C. C. CORRÊA DA SILVA,Superior,RJ,M
16,178836,Alan Rick,DEM,AC,https://www.camara.leg.br/internet/deputado/bandep/178836.jpg,dep.alanrick@camara.leg.br,ALAN RICK MIRANDA,Pós-Graduação,AC,M
17,160545,Alexandre Leite,DEM,SP,https://www.camara.leg.br/internet/deputado/bandep/160545.jpg,dep.alexandreleite@camara.leg.br,ALEXANDRE LEITE DA SILVA,Superior,SP,M
18,160600,Arthur Oliveira Maia,DEM,BA,https://www.camara.leg.br/internet/deputado/bandep/160600.jpg,dep.arthuroliveiramaia@camara.leg.br,ARTHUR DE OLIVEIRA MAIA DA SILVA,Mestrado,BA,M
19,141513,Bilac Pinto,DEM,MG,https://www.camara.leg.br/internet/deputado/bandep/141513.jpg,dep.bilacpinto@camara.leg.br,OLAVO BILAC PINTO NETO,Superior,RJ,M
20,178993,Carlos Henrique Gaguim,DEM,TO,https://www.camara.leg.br/internet/deputado/bandep/178993.jpg,dep.carloshenriquegaguim@camara.leg.br,CARLOS HENRIQUE AMORIM,Pós-Graduação,GO,M
21,204412,Dr. Zacharias Calil,DEM,GO,https://www.camara.leg.br/internet/deputado/bandep/204412.jpg,dep.dr.zachariascalil@camara.leg.br,ZACARIAS CALIL HAMU,Superior,GO,M
22,141422,Efraim Filho,DEM,PB,https://www.camara.leg.br/internet/deputado/bandep/141422.jpg,dep.efraimfilho@camara.leg.br,EFRAIM DE ARAÚJO MORAIS FILHO,Pós-Graduação,PB,M
23,160532,Eli Corrêa Filho,DEM,SP,https://www.camara.leg.br/internet/deputado/bandep/160532.jpg,dep.elicorreafilho@camara.leg.br,ADRIANO ELI CORRÊA,Superior,SP,M
24,178854,Elmar Nascimento,DEM,BA,https://www.camara.leg.br/internet/deputado/bandep/178854.jpg,dep.elmarnascimento@camara.leg.br,ELMAR JOSE VIEIRA NASCIMENTO,Pós-Graduação,BA,M
25,141431,Fernando Coelho Filho,DEM,PE,https://www.camara.leg.br/internet/deputado/bandep/141431.jpg,dep.fernandocoelhofilho@camara.leg.br,FERNANDO BEZERRA DE SOUZA COELHO FILHO,Superior,PE,M
26,204527,Geninho Zuliani,DEM,SP,https://www.camara.leg.br/internet/deputado/bandep/204527.jpg,dep.geninhozuliani@camara.leg.br,EUGENIO JOSÉ ZULIANI,Superior,SP,M
27,178909,Hélio Leite,DEM,PA,https://www.camara.leg.br/internet/deputado/bandep/178909.jpg,dep.helioleite@camara.leg.br,HELIO LEITE DA SILVA,Superior,PA,M
28,204564,Igor Kannário,DEM,BA,https://www.camara.leg.br/internet/deputado/bandep/204564.jpg,dep.igorkannario@camara.leg.br,ANDERSON MACHADO DE JESUS,Ensino Fundamental,BA,M
29,204386,Jose Mario Schreiner,DEM,GO,https://www.camara.leg.br/internet/deputado/bandep/204386.jpg,dep.josemarioschreiner@camara.leg.br,JOSE MARIO SCHREINER,Ensino Técnico,SC,M
