data,idVotacao,idProposicao
2019-02-12,2179189-45,2186805
2019-02-12,2179189-45,2187203
2019-02-12,2179189-45,2187204
2019-02-12,2179189-45,2187205
2019-02-12,2179189-45,2191641
2019-02-12,2179189-45,2191683
2019-02-12,2179189-45,2191684
2019-02-12,2179189-45,2191685
2019-02-12,2179189-45,2191747
2019-02-12,2179189-45,2191758
2019-02-12,2179189-45,2191771
2019-02-12,2179189-45,2191791
2019-02-12,2179189-48,2186805
2019-02-12,2179189-48,2187203
2019-02-12,2179189-48,2187204
2019-02-12,2179189-48,2187205
2019-02-12,2179189-48,2191641
2019-02-12,2179189-48,2191683
2019-02-12,2179189-48,2191684
2019-02-12,2179189-48,2191685
2019-02-12,2179189-48,2191747
2019-02-12,2179189-48,2191758
2019-02-12,2179189-48,2191771
2019-02-12,2179189-48,2191791
2019-02-12,2179189-59,2186805
2019-02-12,2179189-59,2187203
2019-02-12,2179189-59,2187204
2019-02-12,2179189-59,2187205
2019-02-12,2179189-59,2191641
2019-02-12,2179189-59,2191672
2019-02-12,2179189-59,2191683
2019-02-12,2179189-59,2191684
2019-02-12,2179189-59,2191685
2019-02-12,2179189-59,2191688
2019-02-12,2179189-59,2191689
2019-02-12,2179189-59,2191690
2019-02-12,2179189-59,2191691
2019-02-12,2179189-59,2191692
2019-02-12,2179189-59,2191696
2019-02-12,2179189-59,2191747
2019-02-12,2179189-59,2191758
2019-02-12,2179189-59,2191771
2019-02-12,2179189-59,2191791
2019-02-12,2179189-62,2186805
2019-02-12,2179189-62,2187203
2019-02-12,2179189-62,2187204
2019-02-12,2179189-62,2187205
2019-02-12,2179189-62,2191641
2019-02-12,2179189-62,2191672
2019-02-12,2179189-62,2191683
2019-02-12,2179189-62,2191684
2019-02-12,2179189-62,2191685
2019-02-12,2179189-62,2191688
2019-02-12,2179189-62,2191689
2019-02-12,2179189-62,2191690
2019-02-12,2179189-62,2191691
2019-02-12,2179189-62,2191692
2019-02-12,2179189-62,2191696
2019-02-12,2179189-62,2191747
2019-02-12,2179189-62,2191758
2019-02-12,2179189-62,2191771
2019-02-12,2179189-62,2191791
2019-02-12,2179189-73,2186805
2019-02-12,2179189-73,2187203
2019-02-12,2179189-73,2187204
2019-02-12,2179189-73,2187205
2019-02-12,2179189-73,2191641
2019-02-12,2179189-73,2191672
2019-02-12,2179189-73,2191683
2019-02-12,2179189-73,2191684
2019-02-12,2179189-73,2191685
2019-02-12,2179189-73,2191688
2019-02-12,2179189-73,2191689
2019-02-12,2179189-73,2191690
2019-02-12,2179189-73,2191691
2019-02-12,2179189-73,2191692
2019-02-12,2179189-73,2191696
2019-02-12,2179189-73,2191747
2019-02-12,2179189-73,2191758
2019-02-12,2179189-73,2191771
2019-02-12,2179189-73,2191791
2019-02-12,2179189-75,2186805
2019-02-12,2179189-75,2187203
2019-02-12,2179189-75,2187204
2019-02-12,2179189-75,2187205
2019-02-12,2179189-75,2191641
2019-02-12,2179189-75,2191672
2019-02-12,2179189-75,2191683
2019-02-12,2179189-75,2191684
2019-02-12,2179189-75,2191685
2019-02-12,2179189-75,2191688
2019-02-12,2179189-75,2191689
2019-02-12,2179189-75,2191690
2019-02-12,2179189-75,2191691
2019-02-12,2179189-75,2191692
2019-02-12,2179189-75,2191696
2019-02-12,2179189-75,2191747
2019-02-12,2179189-75,2191758
2019-02-12,2179189-75,2191771
2019-02-12,2179189-75,2191791
2019-02-12,2179189-78,2186805
2019-02-12,2179189-78,2187203
2019-02-12,2179189-78,2187204
2019-02-12,2179189-78,2187205
2019-02-12,2179189-78,2191641
2019-02-12,2179189-78,2191672
2019-02-12,2179189-78,2191683
2019-02-12,2179189-78,2191684
2019-02-12,2179189-78,2191685
2019-02-12,2179189-78,2191688
2019-02-12,2179189-78,2191689
2019-02-12,2179189-78,2191690
2019-02-12,2179189-78,2191691
2019-02-12,2179189-78,2191692
2019-02-12,2179189-78,2191696
2019-02-12,2179189-78,2191747
2019-02-12,2179189-78,2191758
2019-02-12,2179189-78,2191771
2019-02-12,2179189-78,2191791
2019-02-12,2179189-80,2186805
2019-02-12,2179189-80,2187203
2019-02-12,2179189-80,2187204
2019-02-12,2179189-80,2187205
2019-02-12,2179189-80,2191641
2019-02-12,2179189-80,2191672
2019-02-12,2179189-80,2191683
2019-02-12,2179189-80,2191684
2019-02-12,2179189-80,2191685
2019-02-12,2179189-80,2191688
2019-02-12,2179189-80,2191689
2019-02-12,2179189-80,2191690
2019-02-12,2179189-80,2191691
2019-02-12,2179189-80,2191692
2019-02-12,2179189-80,2191696
2019-02-12,2179189-80,2191747
2019-02-12,2179189-80,2191758
2019-02-12,2179189-80,2191771
2019-02-12,2179189-80,2191791
2019-02-12,2179189-82,2186805
2019-02-12,2179189-82,2187203
2019-02-12,2179189-82,2187204
2019-02-12,2179189-82,2187205
2019-02-12,2179189-82,2191641
2019-02-12,2179189-82,2191672
2019-02-12,2179189-82,2191683
2019-02-12,2179189-82,2191684
2019-02-12,2179189-82,2191685
2019-02-12,2179189-82,2191688
2019-02-12,2179189-82,2191689
2019-02-12,2179189-82,2191690
2019-02-12,2179189-82,2191691
2019-02-12,2179189-82,2191692
2019-02-12,2179189-82,2191696
2019-02-12,2179189-82,2191747
2019-02-12,2179189-82,2191758
2019-02-12,2179189-82,2191771
2019-02-12,2179189-82,2191791
2019-02-12,2179189-84,2186805
2019-02-12,2179189-84,2187203
2019-02-12,2179189-84,2187204
2019-02-12,2179189-84,2187205
2019-02-12,2179189-84,2191641
2019-02-12,2179189-84,2191672
2019-02-12,2179189-84,2191683
2019-02-12,2179189-84,2191684
2019-02-12,2179189-84,2191685
2019-02-12,2179189-84,2191688
2019-02-12,2179189-84,2191689
2019-02-12,2179189-84,2191690
2019-02-12,2179189-84,2191691
2019-02-12,2179189-84,2191692
2019-02-12,2179189-84,2191696
2019-02-12,2179189-84,2191747
2019-02-12,2179189-84,2191758
2019-02-12,2179189-84,2191769
2019-02-12,2179189-84,2191771
2019-02-12,2179189-84,2191791
2019-02-12,2179189-86,2186805
2019-02-12,2179189-86,2187203
2019-02-12,2179189-86,2187204
2019-02-12,2179189-86,2187205
2019-02-12,2179189-86,2191641
2019-02-12,2179189-86,2191672
2019-02-12,2179189-86,2191683
2019-02-12,2179189-86,2191684
2019-02-12,2179189-86,2191685
2019-02-12,2179189-86,2191688
2019-02-12,2179189-86,2191689
2019-02-12,2179189-86,2191690
2019-02-12,2179189-86,2191691
2019-02-12,2179189-86,2191692
2019-02-12,2179189-86,2191696
2019-02-12,2179189-86,2191747
2019-02-12,2179189-86,2191758
2019-02-12,2179189-86,2191769
2019-02-12,2179189-86,2191771
2019-02-12,2179189-86,2191791
2019-02-12,2179189-88,2186805
2019-02-12,2179189-88,2187203
2019-02-12,2179189-88,2187204
2019-02-12,2179189-88,2187205
2019-02-12,2179189-88,2191641
2019-02-12,2179189-88,2191672
2019-02-12,2179189-88,2191683
2019-02-12,2179189-88,2191684
2019-02-12,2179189-88,2191685
2019-02-12,2179189-88,2191688
2019-02-12,2179189-88,2191689
2019-02-12,2179189-88,2191690
2019-02-12,2179189-88,2191691
2019-02-12,2179189-88,2191692
2019-02-12,2179189-88,2191696
2019-02-12,2179189-88,2191747
2019-02-12,2179189-88,2191758
2019-02-12,2179189-88,2191769
2019-02-12,2179189-88,2191771
2019-02-12,2179189-88,2191791
2019-02-12,2191503-2,2191503
2019-02-12,2191504-2,2191504
2019-02-12,2191505-2,2191505
2019-02-12,2191506-2,2191506
2019-02-12,2191507-2,2191507
2019-02-12,2191508-2,2191508
2019-02-12,2191548-2,2191548
2019-02-12,2191549-2,2191549
2019-02-12,2191550-2,2191550
2019-02-12,2191551-2,2191551
2019-02-12,2191552-2,2191552
2019-02-13,2183943-82,2192265
2019-02-13,2183943-36,2192265
2019-02-13,2183943-39,2192265
2019-02-13,2183943-43,2192265
2019-02-13,2183943-47,2192265
2019-02-13,2183943-50,2192265
2019-02-13,2183943-54,2192265
2019-02-13,2183943-57,2192265
2019-02-13,2183943-59,2192265
2019-02-13,2183943-61,2192265
2019-02-13,2183943-63,2192265
2019-02-13,2183943-68,2192265
2019-02-13,2183943-72,2192265
2019-02-13,2183943-80,2192265
2019-02-13,2183957-56,2192113
2019-02-13,2183957-52,2192113
2019-02-13,2183957-54,2192113
2019-02-19,2160860-163,2164720
2019-02-19,2160860-163,2170483
2019-02-19,2160860-163,2170877
2019-02-19,2160860-163,2171558
2019-02-19,2160860-163,2171559
2019-02-19,2160860-163,2171560
2019-02-19,2160860-163,2171561
2019-02-19,2160860-163,2171562
2019-02-19,2160860-163,2171564
2019-02-19,2160860-163,2171565
2019-02-19,2160860-163,2171566
2019-02-19,2160860-163,2171567
2019-02-19,2160860-163,2171568
2019-02-19,2160860-165,2164720
2019-02-19,2160860-165,2170483
2019-02-19,2160860-165,2170877
2019-02-19,2160860-165,2171558
2019-02-19,2160860-165,2171559
2019-02-19,2160860-165,2171560
2019-02-19,2160860-165,2171561
2019-02-19,2160860-165,2171562
2019-02-19,2160860-165,2171564
2019-02-19,2160860-165,2171565
2019-02-19,2160860-165,2171566
2019-02-19,2160860-165,2171567
2019-02-19,2160860-165,2171568
2019-02-19,2160860-168,2164720
2019-02-19,2160860-168,2170483
2019-02-19,2160860-168,2170877
2019-02-19,2160860-168,2171558
2019-02-19,2160860-168,2171559
2019-02-19,2160860-168,2171560
2019-02-19,2160860-168,2171561
2019-02-19,2160860-168,2171562
2019-02-19,2160860-168,2171564
2019-02-19,2160860-168,2171565
2019-02-19,2160860-168,2171566
2019-02-19,2160860-168,2171567
2019-02-19,2160860-168,2171568
2019-02-19,2190880-37,2192300
2019-02-19,2190880-37,2192393
2019-02-19,2190880-37,2192394
2019-02-19,2190880-37,2192443
2019-02-19,2190880-48,2192300
2019-02-19,2190880-48,2192393
2019-02-19,2190880-48,2192394
2019-02-19,2190880-48,2192443
2019-02-19,2190880-51,2192300
2019-02-19,2190880-51,2192393
2019-02-19,2190880-51,2192394
2019-02-19,2190880-51,2192443
2019-02-19,2190880-54,2192300
2019-02-19,2190880-54,2192393
2019-02-19,2190880-54,2192394
2019-02-19,2190880-54,2192443
2019-02-19,2192300-10,2192300
2019-02-19,2191598-2,2191598
2019-02-19,2191730-2,2191730
2019-02-19,2191731-2,2191731
2019-02-19,2191784-2,2191784
2019-02-19,2191911-2,2191911
2019-02-19,2191953-2,2191953
2019-02-19,2191955-2,2191955
2019-02-19,2192015-2,2192015
2019-02-19,2192025-2,2192025
2019-02-19,2192035-2,2192035
2019-02-19,2192039-3,2192039
2019-02-19,2192227-2,2192227
2019-02-19,2192228-2,2192228
2019-02-19,2192262-2,2192262
2019-02-19,2192273-2,2192273
2019-02-19,2192275-3,2192275
2019-02-19,2192277-2,2192277
2019-02-19,2192281-2,2192281
2019-02-20,2160860-215,2164720
2019-02-20,2160860-215,2170483
2019-02-20,2160860-215,2170877
2019-02-20,2160860-215,2171558
2019-02-20,2160860-215,2171559
2019-02-20,2160860-215,2171560
2019-02-20,2160860-215,2171561
2019-02-20,2160860-215,2171562
2019-02-20,2160860-215,2171564
2019-02-20,2160860-215,2171565
2019-02-20,2160860-215,2171566
2019-02-20,2160860-215,2171567
2019-02-20,2160860-215,2171568
2019-02-20,2160860-215,2192760
2019-02-20,2191509-29,2192800
2019-02-20,2191528-30,2192801
2019-02-20,2191529-25,2192934
2019-02-20,2191532-28,2192802
2019-02-20,2191537-26,2192803
2019-02-20,2191538-26,2192804
2019-02-20,2191540-26,2192805
2019-02-20,2191554-26,2192806
2019-02-20,2191555-28,2192807
2019-02-20,2191556-28,2192808
2019-02-20,2191557-26,2192809
2019-02-20,2191561-26,2192810
2019-02-20,2191604-26,2192811
2019-02-20,2191605-26,2192812
2019-02-20,2191606-28,2192813
2019-02-20,2191607-28,2192814
2019-02-20,2191608-28,2192815
2019-02-20,2191609-26,2192816
2019-02-20,2191610-26,2192817
2019-02-20,2191611-26,2192818
2019-02-20,2191612-26,2192819
2019-02-20,2191613-26,2192820
2019-02-20,2191615-26,2192821
2019-02-20,2191616-26,2192822
2019-02-20,2191618-26,2192823
2019-02-20,2191664-26,2192824
2019-02-20,2191715-26,2192825
2019-02-20,2191716-26,2192826
2019-02-20,2191718-26,2192827
2019-02-20,2191720-26,2192828
2019-02-20,2191729-26,2192829
2019-02-20,2191756-26,2192830
2019-02-20,2191761-26,2192831
2019-02-20,2191773-26,2192832
2019-02-20,2191818-26,2192833
2019-02-20,2191819-27,2192834
2019-02-20,2191820-26,2192835
2019-02-20,2191821-26,2192836
2019-02-20,2191822-26,2192837
2019-02-20,2191823-26,2192838
2019-02-20,2191824-28,2192839
2019-02-20,2191825-26,2192840
2019-02-20,2191826-26,2192841
2019-02-20,2191841-26,2192842
2019-02-20,2191842-26,2192843
2019-02-20,2191843-26,2192844
2019-02-20,2191845-26,2192845
2019-02-20,2191846-26,2192846
2019-02-20,2191847-26,2192847
2019-02-20,2191848-26,2192848
2019-02-20,2191850-26,2192849
2019-02-20,2191851-28,2192850
2019-02-20,2191852-29,2192928
2019-02-20,2191853-26,2192852
2019-02-20,2191855-26,2192853
2019-02-20,2191856-26,2192851
2019-02-20,2191884-26,2192854
2019-02-20,2191888-26,2192855
2019-02-20,2191889-26,2192856
2019-02-20,2191890-26,2192857
2019-02-20,2191893-26,2192858
2019-02-20,2191903-26,2192859
2019-02-20,2191931-26,2192860
2019-02-20,2192029-26,2192861
2019-02-20,2192036-26,2192862
2019-02-20,2192044-26,2192863
2019-02-20,2192046-26,2192864
2019-02-20,2192051-26,2192865
2019-02-20,2192054-26,2192866
2019-02-20,2192072-26,2192867
2019-02-20,2192106-26,2192868
2019-02-20,2192133-28,2192869
2019-02-20,2192134-28,2192870
2019-02-20,2192152-22,2192871
2019-02-20,2192154-21,2192872
2019-02-20,2192174-28,2192873
2019-02-20,2192175-28,2192874
2019-02-20,2192190-28,2192875
2019-02-20,2192199-29,2192876
2019-02-20,2192207-28,2192877
2019-02-20,2192224-29,2192878
2019-02-20,2192225-28,2192879
2019-02-20,2192283-26,2192880
2019-02-20,2160860-173,2164720
2019-02-20,2160860-173,2170483
2019-02-20,2160860-173,2170877
2019-02-20,2160860-173,2171558
2019-02-20,2160860-173,2171559
2019-02-20,2160860-173,2171560
2019-02-20,2160860-173,2171561
2019-02-20,2160860-173,2171562
2019-02-20,2160860-173,2171564
2019-02-20,2160860-173,2171565
2019-02-20,2160860-173,2171566
2019-02-20,2160860-173,2171567
2019-02-20,2160860-173,2171568
2019-02-20,2160860-173,2192760
2019-02-20,2160860-176,2164720
2019-02-20,2160860-176,2170483
2019-02-20,2160860-176,2170877
2019-02-20,2160860-176,2171558
2019-02-20,2160860-176,2171559
2019-02-20,2160860-176,2171560
2019-02-20,2160860-176,2171561
2019-02-20,2160860-176,2171562
2019-02-20,2160860-176,2171564
2019-02-20,2160860-176,2171565
2019-02-20,2160860-176,2171566
2019-02-20,2160860-176,2171567
2019-02-20,2160860-176,2171568
2019-02-20,2160860-176,2192760
2019-02-20,2160860-178,2164720
2019-02-20,2160860-178,2170483
2019-02-20,2160860-178,2170877
2019-02-20,2160860-178,2171558
