UF,id,nomeEleitoral,siglaPartido
MG,204515,André Janones,AVANTE
RJ,204476,Chiquinho Brazão,AVANTE
MG,198197,Greyce Elias,AVANTE
AP,204375,Leda Sadala,AVANTE
MG,160510,Luis Tibé,AVANTE
BA,204553,Pastor Sargento Isidório,AVANTE
PE,178921,Sebastião Oliveira,AVANTE
BA,197438,Tito,AVANTE
SP,178972,Alex Manente,CIDADANIA
SP,141391,Arnaldo Jardim,CIDADANIA
SC,164360,Carmen Zanotto,CIDADANIA
ES,204355,Da Vitoria,CIDADANIA
PE,178916,Daniel Coelho,CIDADANIA
DF,204377,Paula Belmonte,CIDADANIA
PR,73466,Rubens Bueno,CIDADANIA
RJ,204448,Luiz Antônio Corrêa,DC
AC,178836,Alan Rick,DEM
SP,160545,Alexandre Leite,DEM
CE,74212,Aníbal Gomes,DEM
BA,160600,Arthur Oliveira Maia,DEM
MG,141513,Bilac Pinto,DEM
TO,178993,Carlos Henrique Gaguim,DEM
SP,204511,David Soares,DEM
GO,204412,Dr. Zacharias Calil,DEM
PB,141422,Efraim Filho,DEM
SP,160532,Eli Corrêa Filho,DEM
BA,178854,Elmar Nascimento,DEM
PE,141431,Fernando Coelho Filho,DEM
SP,204527,Geninho Zuliani,DEM
PA,178909,Hélio Leite,DEM
BA,204564,Igor Kannário,DEM
GO,204386,Jose Mario Schreiner,DEM
MA,178886,Juscelino Filho,DEM
SP,204536,Kim Kataguiri,DEM
BA,92102,Leur Lomanto Júnior,DEM
DF,204381,Luis Miranda,DEM
RJ,178943,Marcos Soares,DEM
ES,66179,Norma Ayub,DEM
PA,204498,Olival Marques,DEM
BA,178860,Paulo Azi,DEM
PR,204395,Pedro Lupion,DEM
TO,160639,Professora Dorinha Seabra Rezende,DEM
RJ,178947,Sóstenes Cavalcante,DEM
RJ,191945,Zé Augusto Nalin,DEM
RS,160559,Alceu Moreira,MDB
SP,178975,Baleia Rossi,MDB
SC,204361,Carlos Chiodini,MDB
SC,141405,Celso Maldaner,MDB
RJ,204459,Daniela do Waguinho,MDB
TO,178994,Dulce Miranda,MDB
PA,74075,Elcione Barbalho,MDB
MG,141427,Fábio Ramalho,MDB
SE,171623,Fabio Reis,MDB
AC,141434,Flaviano Melo,MDB
RS,178996,Giovani Feltes,MDB
RJ,204456,Gutemberg Reis,MDB
MG,204539,Hercílio Coelho Diniz,MDB
SP,178981,Herculano Passos,MDB
PR,73772,Hermes Parcianello,MDB
MA,178884,Hildo Rocha,MDB
AL,204436,Isnaldo Bulhões Jr.,MDB
AC,178839,Jéssica Sales,MDB
MA,112437,João Marcelo Souza,MDB
PA,74079,José Priante,MDB
MT,204474,Juarez Costa,MDB
RJ,74254,Leonardo Picciani,MDB
RO,178954,Lucio Mosquini,MDB
RS,179001,Márcio Biolchi,MDB
PI,204431,Marcos Aurélio Sampaio,MDB
MG,74749,Mauro Lopes,MDB
CE,178997,Moses Rodrigues,MDB
MG,178896,Newton Cardoso Jr,MDB
RS,73692,Osmar Terra,MDB
PE,141523,Raul Henry,MDB
SC,160651,Rogério Peninha Mendonça,MDB
PR,178933,Sergio Souza,MDB
MT,141552,Valtenir Pereira,MDB
RN,178952,Walter Alves,MDB
SP,204528,Adriana Ventura,NOVO
SP,204516,Alexis Fonteyne,NOVO
SC,204365,Gilson Marques,NOVO
MG,204523,Lucas Gonzalez,NOVO
RS,156190,Marcel van Hattem,NOVO
RJ,204461,Paulo Ganime,NOVO
MG,204519,Tiago Mitraud,NOVO
SP,204532,Vinicius Poit,NOVO
GO,204413,Alcides Rodrigues,PATRI
MG,204518,Dr. Frederico,PATRI
MG,204494,Fred Costa,PATRI
CE,204550,Júnior Mano,PATRI
MA,204566,Marreca Filho,PATRI
PE,160642,Pastor Eurico,PATRI
RJ,215042,Ricardo da Karol,PATRI
GO,204413,Alcides Rodrigues,PATRIOTA
MG,204518,Dr. Frederico,PATRIOTA
MG,204494,Fred Costa,PATRIOTA
MA,204566,Marreca Filho,PATRIOTA
PE,160642,Pastor Eurico,PATRIOTA
RJ,215042,Ricardo da Karol,PATRIOTA
PR,178930,Roman,PATRIOTA
BA,74057,Alice Portugal,PCdoB
BA,74060,Daniel Almeida,PCdoB
RJ,74848,Jandira Feghali,PCdoB
SP,178987,Orlando Silva,PCdoB
AC,73943,Perpétua Almeida,PCdoB
AP,160641,Professora Marcivania,PCdoB
PE,73801,Renildo Calheiros,PCdoB
MA,178887,Rubens Pereira Júnior,PCdoB
RS,178835,Afonso Motta,PDT
BA,204571,Alex Santana,PDT
CE,133439,André Figueiredo,PDT
RJ,141439,Chico D'Angelo,PDT
MS,141411,Dagoberto Nogueira,PDT
PB,74467,Damião Feliciano,PDT
CE,204541,Eduardo Bismarck,PDT
SE,68720,Fábio Henrique,PDT
BA,160666,Félix Mendonça Júnior,PDT
GO,160598,Flávia Morais,PDT
PI,191923,Flávio Nogueira,PDT
MA,204575,Gil Cutrim,PDT
PR,73460,Gustavo Fruet,PDT
CE,204533,Idilvan Alencar,PDT
AC,204435,Jesus Sérgio,PDT
CE,74299,Leônidas Cristino,PDT
MG,74158,Mário Heringer,PDT
RS,204403,Marlon Santos,PDT
RJ,133968,Paulo Ramos,PDT
RS,73486,Pompeo de Mattos,PDT
CE,204489,Robério Monteiro,PDT
RO,204360,Silvia Cristina,PDT
MG,177282,Subtenente Gonzaga,PDT
SP,204534,Tabata Amaral,PDT
PE,157130,Túlio Gadêlha,PDT
PE,74439,Wolney Queiroz,PDT
BA,204554,Abílio Santana,PHS
PE,204427,Fernando Rodolfo,PHS
MG,204510,Franco Cartafina,PHS
RJ,115746,Gelson Azevedo,PHS
BA,204564,Igor Kannário,PHS
MA,215043,Josivaldo JP,PHS
MG,146788,Marcelo Aro,PHS
BA,204554,Abílio Santana,PL
MG,141372,Aelton Freitas,PL
RJ,178937,Altineu Côrtes,PL
SE,74052,Bosco Costa,PL
SP,178829,Capitão Augusto,PL
PI,178924,Capitão Fábio Abreu,PL
PR,178928,Christiane de Souza Yared,PL
PA,135054,Cristiano Vale,PL
CE,204481,Dr. Jaziel,PL
RR,141417,Edio Lopes,PL
PE,204427,Fernando Rodolfo,PL
RJ,115746,Gelson Azevedo,PL
PR,74383,Giacobo,PL
RS,160673,Giovani Cherini,PL
BA,141458,João Carlos Bacelar,PL
RN,141459,João Maia,PL
BA,74554,José Rocha,PL
MA,204563,Josimar Maranhãozinho,PL
MA,204574,Junior Lourenço,PL
CE,204550,Júnior Mano,PL
DF,141478,Laerte Bessa,PL
ES,160534,Lauriete,PL
MG,74585,Lincoln Portela,PL
RJ,204448,Luiz Antônio Corrêa,PL
SP,204485,Luiz Carlos Motta,PL
PR,162332,Luiz Nishimori,PL
GO,166402,Magda Mofatto,PL
AM,204556,Marcelo Ramos,PL
SP,178983,Marcio Alvino,PL
PI,204432,Marina Santos,PL
SP,178985,Miguel Lombardi,PL
MA,204570,Pastor Gil,PL
SP,160558,Paulo Freire Costa,PL
SP,204529,Policial Katia Sastre,PL
SP,160601,Pr. Marco Feliciano,PL
BA,204567,Raimundo Costa,PL
PE,178921,Sebastião Oliveira,PL
